>>>Random Permutation Basis Eigenstate Initialization:
Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
6, 1, 10.1574,0.0656941,10.045,10.1105,10.153,10.1945,10.358
7, 1, 12.4514,0.0881666,12.15,12.408,12.454,12.5045,12.742
8, 1, 14.8588,0.0858323,14.635,14.8015,14.856,14.9205,15.031
9, 1, 17.3322,0.106617,17.064,17.2635,17.334,17.3915,17.636
10, 1, 19.9257,0.0972551,19.68,19.857,19.9375,19.983,20.163
11, 1, 22.6043,0.105442,22.236,22.539,22.605,22.6725,22.848
12, 1, 25.4084,0.0954799,25.179,25.338,25.4035,25.4875,25.596
13, 1, 28.4037,0.10089,28.165,28.333,28.4155,28.4735,28.745
14, 1, 31.5556,0.120187,31.283,31.4785,31.556,31.6365,31.94
15, 1, 35.0738,0.124561,34.742,34.9795,35.0705,35.164,35.366
16, 1, 39.303,0.142334,38.695,39.224,39.3065,39.388,39.627
17, 1, 44.8807,0.135974,44.584,44.797,44.8705,44.972,45.339
18, 1, 53.2838,0.187824,52.749,53.177,53.316,53.416,53.644
19, 1, 70.3923,0.254423,69.762,70.205,70.436,70.5945,70.87
20, 1, 99.7542,0.451733,98.622,99.4665,99.831,100.096,101.293
21, 1, 117.26,5.95674,114.284,115.74,116.12,116.359,155.234
22, 1, 200.539,3.64738,189.519,200.136,201.414,202.812,205.058
23, 1, 369.898,3.8748,353.953,369.743,370.966,372.049,374.889
24, 1, 715.662,4.24754,703.84,713.916,716.931,718.382,722.834
25, 1, 1422.8,4.19132,1408.82,1421.81,1423.61,1425.22,1430.22
26, 1, 2837.77,5.52205,2820.36,2834.8,2838.53,2841.24,2847.1
27, 1, 5674.71,11.6256,5619,5671.46,5676.29,5681.55,5691.81
28, 1, 11378,26.5256,11268.6,11372.7,11381.6,11391.5,11416.1

