>>>Random Permutation Basis Eigenstate Initialization:
Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
20, 1, 49.3759,16.0908,22.325,37.218,44.4765,56.4945,93.196
21, 1, 61.9091,22.4881,26.442,45.499,59.5915,69.396,118.305
22, 1, 87.7687,40.7075,31.645,58.448,79.7905,109.978,179.569
23, 1, 147.946,88.4546,27.325,84.534,131.975,181.022,393.498
24, 1, 251.636,161.168,32.563,124.1,221.585,323.206,740.682
25, 1, 532.914,363.646,52.704,248.291,455.482,752.349,1504.1
26, 1, 858.57,687.031,38.769,265.763,675.261,1199.35,3035.74
27, 1, 2010.13,1550.76,49.365,700.612,1551.2,3442.86,5787.7
>>>Random Separable Bits:

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 5.19168,0.0587869,5.058,5.1565,5.188,5.2325,5.375
5, 1, 7.13504,0.123031,6.873,7.0545,7.1285,7.185,7.426
6, 1, 9.38202,0.0941978,9.16,9.304,9.395,9.4505,9.582
7, 1, 11.9399,0.910152,11.349,11.5365,11.6875,11.8755,15.874
8, 1, 14.0415,0.267906,13.479,13.821,14.046,14.239,14.542
9, 1, 16.5857,0.287112,15.97,16.4155,16.58,16.734,17.405
10, 1, 19.3285,0.345872,18.493,19.128,19.2855,19.558,20.081
11, 1, 22.1464,0.354888,21.261,21.8685,22.1685,22.432,22.914
12, 1, 24.9137,0.405772,23.952,24.676,24.936,25.174,26.035
13, 1, 28.0238,0.452898,26.805,27.69,28.0585,28.3545,29.087
14, 1, 31.2817,0.512189,30.3,30.907,31.2315,31.666,32.651
15, 1, 34.9026,0.532126,33.633,34.558,34.89,35.319,36.283
16, 1, 39.2777,0.525953,38.304,38.93,39.1785,39.5795,40.664
17, 1, 45.4155,2.35874,43.578,44.525,44.961,45.321,60.213
18, 1, 53.3148,0.662804,51.786,52.8195,53.233,53.856,55.097
19, 1, 70.3888,0.735694,68.869,69.7045,70.4025,70.9545,71.892
20, 1, 81.3336,4.73762,77.536,78.88,79.7125,81.3555,101.307
21, 1, 115.558,0.732969,113.587,114.984,115.473,116.086,117.348
22, 1, 188.636,1.03033,185.608,187.976,188.682,189.38,191.473
23, 1, 337.79,1.39465,333.792,337.014,337.985,338.744,340.593
24, 1, 645.235,1.84443,639.031,644.503,645.44,646.302,649.087
25, 1, 1278.99,3.11622,1266.36,1277.7,1279.79,1281.05,1283.83
26, 1, 2551.12,4.75353,2523.15,2549.43,2551.49,2553.58,2563.56
27, 1, 5109.1,6.89051,5093.19,5105.48,5108.61,5112.65,5135.49
